ID,IncomeLevel,UrbanType,EducationLevel,CrimeLevel,RegionCode,medIncome,PctUnemployed,PctFam2Par,PctPopUnderPov,ViolentCrimesPerPop
1,,3,1,3,,,0.27,0.55,,
2,,,3,,,,,,,0.67
3,4,,,,,0.3,0.36,0.42,0.27,
4,1,3,1,2,2,,,,0.1,
5,,,1,4,2,,0.12,,,0.03
6,1,3,1,2,,,,,0.12,0.14
7,,3,1,,,,0.28,0.77,,0.03
8,,1,2,1,6,0.16,,0.45,,0.55
9,,,3,,,0.17,,0.51,0.45,
10,,,1,2,1,,0.11,0.65,0.11,
11,,3,1,,6,,0.32,0.62,,0.24
12,,3,1,,2,0.72,,0.85,0.07,
13,,,1,,2,,0.24,,,0.06
14,,,1,2,1,,0.13,0.88,0.07,0.09
15,,3,,3,,,0.19,,,
16,2,1,,,,0.18,,,0.33,
17,,,,1,2,0.22,0.37,0.2,,0.49
18,1,3,,,,0.79,,,0.04,
19,,,,2,,0.33,0.19,0.66,0.22,0.15
20,4,2,,4,,,,0.76,0.28,0.03
21,,,,,6,,0.59,,0.34,0.34
22,,3,,,4,0.28,0.3,,,
23,2,,,,,,0.63,,0.58,
24,4,,3,,,0.22,,,0.36,0.63
25,2,1,,3,6,0.16,1.0,,0.63,0.31
26,4,,1,,,,,0.58,,
27,,,3,1,6,0.35,,,,0.84
28,,1,,2,,,,,,0.1
29,2,,3,1,,0.12,,,,0.49
30,1,1,1,4,2,,0.22,,0.01,
31,,,3,,,0.16,,,,
32,,3,3,,,0.25,0.28,0.51,0.33,0.19
33,2,3,1,,,0.02,,,,
34,2,3,1,,4,0.2,,0.41,0.43,
35,,3,1,,,0.8,0.16,0.79,0.06,
36,2,,,3,,,0.45,0.47,0.38,
37,,3,1,,6,0.58,0.2,0.78,0.1,
38,,,,3,,0.18,,,,
39,2,1,,2,5,0.17,,,,
40,1,,1,4,,0.58,,,0.02,
41,3,,,2,,,,0.72,0.1,0.11
42,,,3,4,2,0.32,,,,
43,2,,,,,0.16,0.56,,0.54,
44,1,3,1,3,,0.56,0.27,0.68,0.17,0.22
45,1,3,,3,2,0.78,,,0.07,0.17
46,4,,1,,,0.25,0.34,0.7,0.44,
47,,2,3,,,0.47,,0.72,0.18,
48,,,3,2,,,,,,0.12
49,3,,,,,,,0.62,0.18,0.11
50,4,,3,2,,0.23,0.47,0.57,0.34,
51,,3,3,,,0.24,,,0.43,0.2
52,,3,,,,0.38,0.44,,,
53,,3,3,,2,,,0.65,,
54,1,3,,,2,,,,,0.05
55,,,,,1,,,0.59,0.43,0.1
56,2,1,,,5,0.13,0.65,,0.61,0.28
57,,,,3,,,,,,0.22
58,2,,,3,,,0.44,,0.43,
59,,,,1,4,,0.33,,0.3,
60,,,2,,,,0.22,0.66,,0.05
61,,3,1,,2,0.52,0.2,0.81,0.08,0.03
62,4,1,3,,4,,0.18,,,0.07
63,2,1,3,,6,,0.47,,0.5,
64,,,3,,,0.24,0.51,,,0.57
65,2,1,2,,,0.18,,,0.44,0.37
66,,,1,2,,,0.08,,,0.14
67,,,3,,,,,,0.37,
68,,,1,,2,0.74,0.21,0.81,,
69,,3,2,,,0.28,0.75,0.42,,
70,4,1,,4,2,0.22,0.23,,,0.05
71,1,3,1,4,1,,,0.95,,
72,3,1,1,3,6,,,,,
73,4,,,4,1,,0.29,0.69,,
74,1,,,,,,,0.86,,
75,,,3,2,,0.41,0.3,0.56,,
76,4,,1,3,2,0.26,0.51,,0.24,0.18
77,,3,2,2,5,0.23,,,0.39,
78,,3,,1,5,,0.89,,,
79,,,,1,6,,,0.42,,
80,,,,1,,,,,0.19,0.75
81,3,3,,,2,0.41,,,,
82,,3,3,,6,,0.54,,,
83,2,,,1,5,0.15,0.33,,,
84,3,3,,,1,0.4,0.23,0.96,,
85,,1,1,,,,,0.54,0.82,
86,2,,,,1,0.14,0.32,,0.31,
87,4,1,,,,,0.15,0.7,0.2,
88,3,3,,2,6,,0.12,,0.11,0.1
89,,1,,,6,0.15,0.71,0.52,0.49,0.27
90,,3,,2,6,0.26,0.3,,,
91,,,,1,,,,,,0.63
92,3,,,,,0.41,,0.66,,
93,,2,1,4,2,,0.21,,,
94,3,3,3,2,6,,0.18,,,0.12
95,3,,1,,,,,0.62,,
96,3,,,1,2,,0.49,,,
97,,1,,,6,0.17,0.56,0.41,,
98,,1,,,1,0.21,,,,
99,,,3,,,,0.35,,,
100,,,3,,2,0.33,0.45,0.57,,
101,,3,,1,,0.21,0.61,,,
102,3,3,3,,2,0.34,0.52,,,0.02
103,4,,3,,4,0.26,0.37,,0.28,0.34
104,,3,,,5,0.22,0.42,0.62,,0.28
105,2,,1,2,,,0.07,,,
106,2,,,1,,0.04,1.0,,0.99,0.44
107,4,3,1,,,0.24,0.34,,,0.24
108,1,,,2,2,0.65,,0.88,,0.09
109,2,,,,,,,0.62,,
110,2,3,,,,,0.53,0.45,0.53,0.4
111,,,3,,,0.28,,0.45,0.24,
112,3,3,3,4,,0.34,0.15,,0.09,0.05
113,1,3,,4,2,0.64,0.26,0.86,0.09,0.06
114,,3,1,,6,0.54,0.24,0.59,,0.2
115,2,3,,1,6,,,,0.43,0.51
116,1,1,,,,,0.12,1.0,,
117,,3,3,1,6,0.3,,0.28,,
118,,,1,4,,,,0.87,0.09,
119,,,1,4,4,,0.22,,,0.06
120,,3,,1,,,,,,
121,3,3,,,4,0.42,,,,
122,1,,1,4,,,0.19,0.86,0.02,
123,1,,1,4,1,0.5,0.13,0.86,,
124,3,3,,,,0.49,,0.78,,0.09
125,,,1,,2,,,,0.2,
126,,,,3,,0.38,0.41,,0.19,
127,3,,1,3,2,,,,0.06,0.17
128,,3,1,,6,,,0.61,,0.14
129,4,,,1,,0.27,0.75,,,0.62
130,4,1,3,,,0.27,,0.7,0.19,0.03
131,,,3,,,,,0.2,0.85,0.23
132,,1,,,2,,0.19,,0.24,
133,,1,,,6,0.15,,0.58,0.42,
134,1,,3,3,,,,0.79,,0.27
135,,,,,2,,,0.76,,
136,,,,4,,0.54,0.34,0.83,0.04,0.06
137,1,2,,2,2,0.64,,,0.08,0.09
138,,,1,3,,0.51,0.16,,,
139,2,1,,1,4,0.15,0.49,0.52,,
140,1,3,,4,6,,,,,0.02
141,,,,,6,,0.22,,0.12,
142,,3,1,,2,,0.39,,,0.09
143,,,3,,,0.17,0.55,0.34,,
144,1,1,,4,2,0.65,,0.93,0.06,
145,3,,1,,6,0.33,0.35,0.6,0.26,0.17
146,,,3,1,,,0.73,,0.47,
147,,,1,1,,,0.62,,,1.0
148,,,3,4,2,0.16,0.46,0.54,,0.05
149,4,1,3,1,,0.23,,,,
150,4,1,,,4,0.23,0.31,0.47,0.47,
151,2,3,,,5,0.2,,,0.49,0.21
152,4,,,1,4,,,,0.49,0.86
153,3,3,,,1,0.34,,,0.19,0.03
154,3,3,,3,2,0.48,,0.84,,
155,2,,,,4,,0.53,0.19,0.66,
156,,,3,1,2,0.25,,,,0.44
157,1,,,4,,0.88,0.07,,,
158,2,1,3,,,,0.51,0.13,,0.73
159,,,1,,4,0.25,,,0.27,0.48
160,,,3,4,5,,,,,
161,,1,1,,1,0.12,,0.59,,0.07
162,,3,1,4,,,0.22,0.73,0.08,
163,,3,1,3,2,0.55,0.42,0.77,0.09,0.17
164,,3,1,,2,,0.32,,0.11,0.11
165,1,3,1,4,,0.61,0.17,0.91,0.05,
166,1,3,1,,,0.64,,0.75,0.13,
167,,1,,,4,,,,,0.05
168,4,,,2,,0.22,0.3,,0.4,0.15
169,4,1,,1,4,,0.23,,,0.46
170,,,3,1,,,0.52,,0.41,0.45
171,2,,1,,,,0.73,,,
172,,,,2,2,0.46,,0.81,,
173,4,1,2,,1,0.22,0.42,0.65,0.3,
174,2,,3,,5,,0.88,0.52,,0.2
175,,3,3,,2,,,0.36,,
176,,3,,,,,0.27,0.79,0.07,0.17
177,,3,1,,2,,,0.86,,
178,,,1,,,,,0.25,0.5,
179,,,,2,,0.22,,0.5,0.36,0.1
180,,,,,5,,0.18,0.6,0.17,0.25
181,,,2,,1,0.18,,,0.4,0.12
182,,,1,3,,0.13,0.77,,0.64,
183,2,,,,,0.16,0.48,0.58,0.58,
184,,3,,4,,1.0,,,,0.02
185,3,3,1,,2,,,0.62,,
186,4,3,1,,4,,,0.46,0.3,0.36
187,1,3,1,2,,0.52,,,0.12,
188,1,,1,4,,,,0.85,0.08,0.01
189,,3,,,2,0.68,,0.82,,0.06
190,3,3,3,2,1,,0.22,,0.09,
191,,,3,2,,0.45,0.46,,0.19,0.1
192,,,1,3,2,,0.38,,0.14,0.21
193,2,,1,,1,0.05,,0.57,,0.1
194,3,3,,,5,0.49,0.15,,0.04,
195,,3,,,6,,0.24,0.91,0.06,0.02
196,,3,1,,,0.68,,0.88,0.04,0.03
197,,2,1,4,,,,0.68,0.1,
198,2,,3,,,,,0.27,0.6,
199,4,3,3,3,,,0.58,,,0.26
200,,1,3,1,,,0.37,0.27,,0.42
201,3,,,3,4,,0.29,,0.16,0.18
202,1,3,1,2,,,,,0.06,0.13
203,,3,2,,,0.28,,0.61,,0.29
204,3,,,1,,0.41,0.41,,0.24,
205,4,,3,4,,,0.07,,0.14,
206,4,,,3,,,0.4,,0.45,0.16
207,,3,,3,6,,0.2,,,0.26
208,4,,,3,,,0.34,0.69,,0.19
209,,,1,,2,0.54,0.27,,0.1,0.03
210,2,,1,2,4,0.18,0.35,,0.76,0.15
211,3,,,3,4,,,0.42,,0.29
212,3,,1,4,4,,0.25,0.78,0.13,
213,4,3,,1,,0.27,,,0.27,
214,,3,1,4,2,,0.22,,,
215,,,,3,5,,0.31,,0.18,0.27
216,4,,,1,6,0.32,,,,
217,,1,1,,5,,,,,
218,4,1,,4,6,0.29,,0.87,,0.04
219,2,,3,,4,,,0.34,,0.16
220,,3,1,4,,,0.23,0.61,,
221,4,1,3,,1,,0.2,0.68,0.28,0.04
222,3,,1,3,,,0.3,0.42,0.3,0.31
223,2,,,,,,0.4,,0.55,
224,3,,,,,0.43,,0.85,,0.05
225,,,3,,,,0.29,,0.24,
226,,3,,2,4,0.14,,0.44,0.55,0.1
227,,1,,,5,0.12,,,0.68,
228,,3,,3,,0.25,,,,0.19
229,,,3,1,,0.12,0.61,,,0.63
230,4,,1,,4,,,,0.47,
231,,,3,4,,,0.48,0.54,,
232,,2,2,4,2,0.23,,0.76,0.19,0.06
233,,1,,,,,0.61,0.52,,0.2
234,,,,1,2,0.23,0.62,,0.56,0.88
235,,3,3,2,,0.55,0.54,0.79,,0.12
236,4,1,,,,0.23,,,0.43,
237,4,3,3,3,,,0.17,0.73,,
238,,3,,,,,0.24,0.88,0.08,0.02
239,,3,3,1,,,,,,0.37
240,4,3,3,3,6,0.3,,0.43,0.28,
241,1,,,,,0.81,0.21,,,0.04
242,2,1,,2,2,0.17,,0.39,,0.12
243,,,,,,,0.43,,0.46,0.32
244,4,,2,,,,,,0.6,0.54
245,4,1,3,,1,0.23,0.48,0.54,,
246,3,,3,3,,,0.27,,0.19,
247,,,3,1,6,,,0.47,,0.7
248,,,2,3,,,0.36,0.44,,
249,2,3,1,1,,,0.43,,,
250,,3,1,4,1,,0.38,0.52,0.56,0.03
251,,3,,1,4,,,0.48,0.28,0.74
252,,3,3,,,0.21,0.41,,0.36,0.63
253,,,1,4,,0.71,,0.89,0.03,
254,,,,2,2,0.46,,,0.14,
255,,,,4,,,,0.93,0.05,0.04
256,2,3,3,,4,,,0.39,0.58,0.93
257,,,3,3,,0.05,0.56,0.41,,0.19
258,3,2,,,,,0.08,0.83,0.12,0.06
259,,,,,4,,0.76,,,
260,,,,,5,,0.93,,0.71,0.1
261,4,1,3,1,,,,,0.26,0.53
262,2,,,,,0.2,,,,0.59
263,2,3,,1,,0.2,0.4,,0.55,0.67
264,,3,,,,,0.17,0.92,0.04,0.01
265,,3,,,,0.42,0.34,,,
266,,1,1,,4,,,0.6,,0.14
267,,,1,,,,0.44,,0.48,
268,4,,,3,1,0.28,,0.51,0.21,0.17
269,2,,1,4,1,,0.34,0.64,0.72,
270,,1,,,2,,0.36,0.43,0.31,
271,1,,1,,2,0.5,,0.78,0.11,
272,2,3,,,,,0.4,0.55,,0.24
273,4,3,,,,,0.22,0.44,,0.35
274,,1,2,3,1,,,0.38,0.43,
275,,,3,2,2,0.51,,,,
276,3,3,,,,0.44,,0.56,,0.36
277,,,,1,4,0.15,0.58,,,0.34
278,,,1,,2,,0.28,,0.08,
279,,,,4,,,0.51,0.66,0.17,0.05
280,4,3,1,,,0.27,,,0.25,
281,,,1,4,,0.11,,0.68,,0.03
282,4,,,2,,0.27,,,,0.12
283,,3,,4,2,,,,,0.06
284,,,3,,,0.23,0.28,,,
285,,,,3,2,0.47,,0.64,0.21,
286,4,3,3,2,,,,,,
287,,,1,,,,,0.33,,
288,1,1,1,4,2,0.86,,0.97,0.04,
289,,,3,1,5,0.22,,,,
290,3,,,,,0.42,0.48,0.84,,0.09
291,,,,2,,,0.5,,,0.1
292,4,,,,4,0.23,,,0.51,0.09
293,,,1,4,2,,,,0.03,0.03
294,,,3,3,,0.24,,,0.33,
295,,,3,,,0.26,,0.7,0.27,0.1
296,,3,3,,2,0.57,0.21,,0.07,0.12
297,3,3,,1,6,0.33,0.41,,,
298,,,,4,,,0.26,,0.0,0.02
299,3,,2,3,,,,,,0.29
300,,,3,1,6,,0.49,,,0.36
301,4,,1,,1,0.29,,0.63,0.25,
302,,1,3,,,,,,,
303,4,,1,,,0.26,,,0.45,
304,4,1,,3,4,,0.35,0.47,,
305,4,3,,4,5,0.26,,0.59,0.22,
306,1,3,1,1,6,,0.19,0.65,,0.45
307,,,,3,,,,0.6,,
308,2,,,,1,,0.91,,,
309,,3,,,,0.65,,,,0.04
310,,3,1,,2,0.69,0.2,,,0.02
311,3,3,2,3,,0.37,0.34,,0.13,0.16
312,,3,3,2,,0.49,,,,
313,,3,,3,,,,0.58,,
314,,,,1,,,0.77,,,
315,,,,,,,,,,0.18
316,2,,,,2,0.15,0.74,,0.49,
317,,1,3,1,,0.19,0.37,0.27,,0.37
318,4,,2,,,,1.0,0.55,,0.31
319,4,,,4,1,,,,0.13,
320,,1,3,,,,,,,
321,,,3,,,,,0.5,,0.48
322,,1,,2,5,0.19,0.46,0.67,0.49,0.09
323,,1,,,,0.28,0.39,0.55,,
324,,,3,,5,0.18,,,0.38,
325,3,,,3,,0.48,0.41,0.62,,0.3
326,,,,1,5,0.11,0.96,,0.83,
327,,,3,,1,,0.42,0.6,0.43,
328,3,,,,,0.44,0.18,0.78,0.1,
329,3,,1,,,0.37,,,,
330,3,,1,,,0.35,,,0.4,0.34
331,3,3,3,,,0.43,0.25,0.76,0.1,
332,,,,,5,,0.32,,,
333,,3,1,,2,0.91,,,0.03,
334,,3,2,,2,0.14,0.65,0.0,,1.0
335,2,1,,1,5,0.16,,,,0.48
336,,,1,,,,,0.9,0.07,0.03
337,,3,,,6,0.16,,0.82,0.79,
338,1,,,,,,0.1,,,0.05
339,,3,3,,2,,0.32,,0.15,
340,3,3,1,,,0.43,0.31,,,
341,,,,2,2,0.48,0.29,,,0.08
342,,1,,,,0.45,,,,
343,,,,,2,,,0.95,0.09,0.0
344,4,,,4,,,0.34,,,0.04
345,,,,,,0.26,,0.62,,
346,,,,,,,0.32,0.59,0.35,
347,4,3,,1,,0.29,0.28,0.47,0.32,
348,2,3,1,2,6,0.2,0.34,,,
349,1,3,1,,2,0.54,,,,0.04
350,2,,1,2,,,0.28,,,
351,1,,,4,2,0.58,,0.81,0.05,0.06
352,4,,1,2,,,0.36,,0.33,0.08
353,,,1,2,1,,0.18,0.65,0.32,
354,3,2,,,1,0.39,,0.76,0.09,0.1
355,4,3,,4,6,0.32,0.24,0.87,,0.03
356,,,3,3,2,0.2,,,,
357,3,,,4,,,0.31,,,0.06
358,1,3,,4,,,,0.83,,0.04
359,2,,2,,,,0.65,0.47,,0.03
360,3,,3,,,0.41,0.24,,,0.07
361,,,1,1,4,0.24,,0.63,0.39,
362,,,,3,,0.29,0.41,,,0.22
363,,,,1,,,0.62,0.18,0.66,
364,,,3,2,,,,,,
365,,,3,,,,,,,
366,4,3,,,,,0.51,,0.37,0.45
367,2,3,3,,,0.17,,,,
368,2,,,2,,,,,0.9,0.14
369,,3,,,,0.05,,,1.0,
370,,3,3,4,1,,0.17,,0.07,
371,,3,,,,0.17,0.54,0.33,0.58,0.6
372,3,,,3,4,0.37,0.2,0.49,,
373,3,,1,,,0.39,,,0.07,0.03
374,,2,,,,0.6,,0.83,,
375,4,,,1,,0.23,0.29,,,
376,,3,1,,6,1.0,,,0.06,
377,1,,1,4,,,,0.85,0.05,0.02
378,,,3,2,,0.3,,0.64,,
379,,,,,2,0.58,0.31,0.52,,
380,3,3,1,,,,0.18,0.58,0.24,0.23
381,2,3,2,,2,,0.57,0.25,,0.49
382,1,,1,,4,0.59,,,,0.03
383,,,,,,0.71,0.1,0.86,0.05,
384,2,1,,,6,,,0.54,0.49,0.15
385,,3,,1,2,0.26,,0.41,0.42,
386,2,1,3,,,0.17,,,0.45,
387,1,3,,,,,0.33,,0.18,0.39
388,,,,1,,,,,0.36,0.43
389,,3,3,1,,,0.47,,,
390,,3,,4,,0.57,,0.83,,0.03
391,,,1,,6,,,0.93,0.09,0.08
392,,,3,,6,,,0.81,,0.04
393,4,,,3,,0.23,,,,0.22
394,2,,3,1,,0.2,,,,
395,,3,,4,5,,,1.0,0.02,
396,,,3,2,6,,0.4,,,
397,2,,3,,5,0.07,,,1.0,0.39
398,,3,,,2,,,,,0.09
399,,3,,,4,,0.16,0.38,,0.18
400,2,3,,1,4,,0.47,,0.42,0.8
401,2,,3,1,1,,,,,1.0
402,2,,3,,1,0.2,0.59,,,0.4
403,,3,,,3,0.14,0.51,,0.55,0.05
404,,,2,3,5,0.21,0.54,,0.51,0.21
405,4,1,3,,,0.22,0.69,0.52,0.51,0.68
406,4,,,,,,,0.48,0.75,
407,4,3,,,,,0.36,,0.22,
408,,,2,,,0.15,,,,
409,,3,3,,4,0.21,,,0.48,
410,,,,,,,,,0.16,0.25
411,,3,,1,4,0.12,,,,
412,,1,3,,2,0.31,,,0.36,
413,,1,3,3,4,,,,,
414,4,,,,,0.21,,0.01,0.58,
415,1,,1,2,,0.5,,0.71,0.1,
416,,1,2,2,,0.25,,0.74,,0.14
417,4,,3,4,1,0.29,0.24,,,0.01
418,3,3,3,,,0.35,0.49,0.72,,
419,,,1,3,2,0.53,,0.83,,0.22
420,4,1,3,2,5,0.24,,0.74,,0.1
421,,3,,1,4,,0.79,,,1.0
422,,3,,,,,0.49,,,
423,,3,3,,,0.46,,,0.08,
424,2,3,,1,,,0.49,,,
425,3,3,,,,0.49,,0.82,,
426,,,2,,,,0.33,0.53,,0.16
427,,,1,4,,0.48,,,0.05,
428,2,,3,1,4,0.13,,0.26,0.52,
429,,1,3,,5,,0.36,0.67,0.39,0.71
430,3,3,,,,0.36,0.43,,0.26,
431,3,,,,,0.38,0.47,0.7,0.16,0.03
432,,,1,,6,,,0.37,0.45,0.53
433,1,3,1,,1,,,0.87,0.11,0.06
434,,,3,,3,,,,0.74,0.18
435,3,1,1,,2,,,,0.09,
436,1,,1,,,,0.22,,,0.1
437,4,,3,4,,0.21,0.35,,0.31,
438,,,,4,,,,0.84,,0.04
439,,,1,,6,0.52,,0.66,,
440,2,,,3,6,,,0.36,,
441,3,3,,3,4,,0.23,0.72,0.1,0.2
442,,1,3,1,4,,,0.49,0.37,
443,,1,3,4,,,,0.66,,
444,,3,,,,0.38,,0.67,,0.05
445,2,3,,1,,0.15,0.59,0.28,0.64,0.72
446,4,,,,,,,0.61,,0.06
447,2,,,,,0.19,,,,0.62
448,4,3,3,1,2,,0.67,0.16,,1.0
449,,3,1,4,2,1.0,,,0.04,0.03
450,1,3,1,,1,0.56,0.09,0.79,,0.05
451,,1,,1,4,,0.57,0.21,0.71,
452,,1,,,,,,,0.27,
453,,3,,,4,0.18,0.35,,,0.2
454,,1,3,4,,0.15,,,,0.07
455,2,3,3,,,0.1,,,,
456,4,,3,2,,0.23,,,,
457,3,3,3,2,,,0.2,,0.11,0.11
458,2,3,,1,4,,,,,1.0
459,,1,2,,,,0.38,,,0.07
460,1,1,1,4,2,,,,0.04,0.02
461,2,1,,1,4,0.16,0.8,,,
462,,3,1,,1,,,,,
463,4,3,2,1,6,0.26,0.79,0.55,0.46,1.0
464,3,1,,1,2,,,0.7,0.14,
465,2,3,1,3,6,0.17,0.53,0.41,0.46,
466,2,,,,6,,,0.53,0.5,0.09
467,1,,,3,2,0.87,0.18,0.83,,0.28
468,1,3,1,2,6,,,0.71,,0.12
469,,,2,2,1,0.28,0.36,,,0.15
470,,3,,4,2,0.38,0.31,,,
471,,3,,,6,0.28,,0.42,,
472,1,,1,4,6,0.53,0.17,0.91,,
473,,3,,1,,0.16,,,0.49,
474,4,,,1,4,,0.22,0.43,0.29,0.46
475,2,1,3,,,,0.55,0.28,0.67,
476,,,3,,6,,,0.46,,
477,4,,,,1,0.23,,,0.46,0.14
478,,3,,,,,,0.62,,0.37
479,,1,1,4,,,0.27,,0.2,0.06
480,2,1,2,,4,0.14,0.38,,,
481,4,,,,4,,,,0.26,0.4
482,1,,,,6,,0.24,0.8,0.12,0.22
483,,,3,,,,0.48,0.3,0.63,
484,3,3,,,,0.38,0.22,,0.13,0.11
485,,3,,4,,,0.16,0.95,,
486,,3,,,5,0.23,0.39,0.5,0.47,0.25
487,,,1,2,,0.41,0.29,0.66,0.19,
488,,3,,,1,,0.4,,,0.05
489,2,1,3,3,,,,0.42,0.53,0.16
490,3,,,4,,0.44,,,,0.04
491,,,,,,0.85,0.13,,,
492,2,,3,,3,0.09,0.61,0.1,,0.29
493,,,1,,,,0.1,0.94,0.02,0.1
494,1,3,1,,2,,0.2,,,
495,,,,1,6,0.1,0.79,0.39,,0.36
496,2,1,3,3,,,,0.45,,0.22
497,1,,1,3,2,0.6,,0.62,0.12,
498,,,3,,1,0.23,0.51,,0.4,
499,3,,3,,,0.41,0.27,0.82,,0.14
500,,3,3,,6,,0.73,0.36,,1.0
501,,3,,,,,0.34,,0.12,
502,2,,,3,4,0.19,,,0.43,0.24
503,1,3,1,2,,0.52,,0.81,,
504,4,,,4,1,0.31,0.39,,,
